image,slant,baseline,spacing,stroke,size,zonal_ratio
544_m04-007.png,0.5000010088211401,-0.04345788699117757,0.0,2.9119980335235596,21.0,15.091425024385918
246_e07-066.png,0.0,0.018560837221837906,65.5,2.487592935562134,8.0,6.40961580606551
246_e07-072.png,0.0,0.0026734497136722715,75.66666666666667,2.589552402496338,8.0,6.508667534453191
340_g06-011i.png,0.22222210199660586,-0.003140949310457382,20.0,2.895779848098755,21.0,12.939709742164583
132_b06-082.png,-0.5714285222051279,0.01879433181078359,0.0,2.828763008117676,19.0,25.538385205232295
118_b05-062.png,-0.4418602231901213,0.0007263583814264067,36.0,2.500465154647827,8.0,16.16612536537837
173_d06-008.png,0.5652172883225278,0.010629023703822193,0.0,3.7296738624572754,21.0,16.690170412447518
237_e04-068.png,0.8723410408633774,-0.01802292764487543,0.0,2.6702969074249268,12.0,15.40940302690583
553_n01-009.png,0.4687509166967377,-0.029400578571001285,0.0,2.7509820461273193,20.0,15.190408441519947
290_f07-046b.png,0.0,0.027750611974925368,65.2,2.582885265350342,9.0,6.612274088782688
000_a01-030u.png,0.10416673130226979,-0.11822499468361432,0.0,3.8462653160095215,24.0,110.53725490196078
428_k02-102.png,0.1000007997136282,-0.002070840345159567,46.666666666666664,2.4298453330993652,8.0,6.100234263456287
589_p01-147.png,0.043480519087003226,-0.025255497739237694,0.0,2.6668050289154053,11.0,12.387527729849642
123_b06-000.png,-0.3999989865271669,-0.006051974601177665,88.0,2.419074058532715,7.0,8.094436193305153
584_n04-084.png,-0.02272696799548679,-0.018782213303158136,0.0,2.842449426651001,10.0,17.954936753338018
084_a06-119.png,0.38636379724784203,-0.014257784604927754,9.0,2.5850307941436768,8.0,8.399157612013186
090_b01-049.png,0.4166676649198247,-0.015502390666618793,18.0,2.6884775161743164,21.0,16.166666666666668
562_n02-033.png,-0.02777777215104405,0.0015008261066786941,17.0,2.4605000019073486,8.0,13.081369622475856
026_a02-037.png,0.454545694942778,0.009355532501285856,7.0,2.748117685317993,9.0,6.283703829953009
173_d06-020.png,-0.23404235617640176,0.04642445591980097,12.0,3.8331727981567383,22.0,23.60016097299231
528_m02-080.png,-0.1935467693193131,-0.030572957243771456,0.0,2.9195775985717773,14.0,8.270960598656078
373_h02-043.png,0.37209453209155846,-0.017247607254946323,0.0,3.0900628566741943,20.0,33.4248455730954
334_g06-026c.png,0.23404242414482612,-0.013322365970162703,0.0,2.7156741619110107,18.0,9.166315448208787
088_b01-023.png,2.0491322226028806e-06,-0.0020898187908948863,92.5,2.524019718170166,8.0,12.29055863603787
293_g07-000b.png,-44.99999874776092,0.023053228467246546,52.25,2.5820956230163574,9.0,7.033913018316502
293_f07-101b.png,0.0,0.026307946840943713,36.0,2.494349479675293,8.0,5.977498161614511
